id,key,value,type
3806506707,designation,Residential Appartments,regular
3806506708,designation,Residential Appartments,regular
3806506708,designation,Residential Appartments,regular
3806506708,designation,Residential Appartments,regular
3806506710,designation,Residential Appartments,regular
3806506710,designation,Residential Appartments,regular
3806506710,designation,Residential Appartments,regular
3806506720,designation,Residential Appartments,regular
3806506720,designation,Residential Appartments,regular
3806506720,designation,Residential Appartments,regular
3806506724,designation,Residential Appartments,regular
3806506724,designation,Residential Appartments,regular
3806506724,designation,Residential Appartments,regular
3806506727,designation,Residential Appartments,regular
3806506727,designation,Residential Appartments,regular
3806506727,designation,Residential Appartments,regular
3806506729,designation,Residential Appartments,regular
3806506729,designation,Residential Appartments,regular
3806506729,designation,Residential Appartments,regular
3806506734,designation,Residential Appartments,regular
3806506734,designation,Residential Appartments,regular
3806506734,designation,Residential Appartments,regular
3806506755,designation,Residential Appartments,regular
3806506755,designation,Residential Appartments,regular
3806506755,designation,Residential Appartments,regular
3806507058,designation,Residential Appartments,regular
3806507058,designation,Residential Appartments,regular
3806507058,designation,Residential Appartments,regular
3806507060,designation,Residential Appartments,regular
3806507060,designation,Residential Appartments,regular
3806507060,designation,Residential Appartments,regular
3808256130,building,school,regular
3808256130,building,school,regular
3808256132,building,residential,regular
3808256132,building,residential,regular
3808256133,leisure,park,regular
3808256133,leisure,park,regular
3808256134,wikidata,Q631047,brand
3808256134,wikidata,Q631047,brand
3808256134,wikidata,Q631047,brand
3808256134,wikidata,Q631047,brand
3808256134,wikidata,Q631047,brand
3808256134,wikidata,Q631047,brand
3808256134,wikidata,Q631047,brand
3808291109,housenumber,"1, Shitiratna",addr
3808291109,housenumber,"1, Shitiratna",addr
3808291109,housenumber,"1, Shitiratna",addr
3808291109,housenumber,"1, Shitiratna",addr
3808291109,housenumber,"1, Shitiratna",addr
3809578194,junction,yes,regular
3809578194,junction,yes,regular
3818918491,leisure,garden,regular
3818918491,leisure,garden,regular
3832189453,power,tower,regular
3846213302,housenumber,101,addr
3846213302,housenumber,101,addr
3846213302,housenumber,101,addr
3846213302,housenumber,101,addr
3846213302,housenumber,101,addr
3846213302,housenumber,101,addr
3846213302,housenumber,101,addr
3846213302,housenumber,101,addr
3846213302,housenumber,101,addr
3846213302,housenumber,101,addr
3846213302,housenumber,101,addr
3846213302,housenumber,101,addr
3846251081,postcode,380015,addr
3846251081,postcode,380015,addr
3846251081,postcode,380015,addr
3846251081,postcode,380015,addr
3846251081,postcode,380015,addr
3846251081,postcode,380015,addr
3883306109,name,Lal Bahadur Shastri Stadium,regular
3883308567,name,Bapunagar Water Tank,regular
3883313575,housenumber,340/1732 G.H.Board,addr
3883313575,housenumber,340/1732 G.H.Board,addr
3883313575,housenumber,340/1732 G.H.Board,addr
3883313575,housenumber,340/1732 G.H.Board,addr
3883313575,housenumber,340/1732 G.H.Board,addr
3883313575,housenumber,340/1732 G.H.Board,addr
3898183126,short_name,GIFT,regular
3898183126,short_name,GIFT,regular
3898183126,short_name,GIFT,regular
3898183127,amenity,fuel,regular
3898183127,amenity,fuel,regular
3898183127,amenity,fuel,regular
3940429403,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940429403,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940429403,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940429403,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
3940472961,opening_hours,Mar-Oct 08:00-11:30; 16:00-19:30; Nov-Feb 08:30-12:00; 15:30-19:00,regular
